topic,sentiment,text
c,0,"Metro Toronto Convention Centre, N Bldg at Front &amp; John in Toronto [Toronto health unit] 181 2nd dose Pfizer or Moderna spots added First available date is 2021-11-23 Book at https://t.co/m7DvqKptvh See https://t.co/egCHzJUDZI for detailed availability #COVID19Vaccine #vhcON"
c,0,The first vaccines for AB kids ages 5-11 will go into arms starting Friday.  You can book starting tomorrow (Nov 24) at 8am https://t.co/CfjdBPD8ho or by calling 8-1-1.  You can pre-register now. https://t.co/l2xCZzBBMe
i,0,"How has history been shaped by infectious disease? From trade blankets, to the 1950s polio epidemic, to COVID-19, pandemics leave lasting impacts through generations.  Join our guided People and Plagues tour, starting this Thursday. Save your spot:  https://t.co/wYozNu3Ayi https://t.co/PJBNLE27jS"
p,0,Quebec unveils COVID-19 vaccination program for children  https://t.co/2ZReZ1rcJx
c,+,Excellent news! #yeg -@GrahamMosimann   https://t.co/ztryHI0eVn
p,0,"This week, the country is set to embark on the roll-out of the Pfizer COVID-19 vaccines for kids in the 5-11 age bracket. It’s looking like this may sadly be one of the more tense and divided parts of the pandemic response to date. https://t.co/j76yi4wkZm"
3,0,Any HCW on my TL got their third dose of Pfizer yet?
3,0,"@FourWinns298 In Moderna’s case, it’s definitely a booster - it’s not a full dose."
c,-,"@MLarmon @Billius27 Unless you have data on adult ( in fact, 50+ ) vaccination rates, by province, the comparison of impact on hospitalization is meaningless.  What matters far more than 12+ uptake is 50+ uptake."
c,0,Gravitas: Revealed: How Pfizer blackmails countries for shots https://t.co/wbocCnngNY via @YouTube
3,0,"@livingintoronto This was just published.  They studied ""waning"" vaccinated folks. Healthy 18 to 65 year olds do not need a booster for well over 6 months.  https://t.co/N58NV3B4fA"
i,0,"@trev82 @bmyska @MBGov Keep in mind that if we keep it controlled, the numbers we would have to pay are relatively small. As well, those procedures currently on hold due to Covid caused backlogs would see reduced cost both to life and financial cost of treatment due to treating earlier."
c,0,@ab_vax Any reason why? They did it with the 12 years olds. My daughter got her adult sized pfizer dose and she turns 12 this month.
p,0,Quebec vaccination plan for five to 11-year-olds to be announced today   CBC News https://t.co/ci97pOgtVs
p,0,Children 5-11 will soon be able to get their first doses of the Pfizer vaccine.https://t.co/Ra9pnONlHI
c,0,"Breaking them into quartiles considering population is tricky because LA, ranked by vaccination, takes up the space from 37th to 62nd percentile. I called them the 3rd quartile (next to top) combined with Orange and Ventura only."
c,0,"2/2 Please note that vaccination is not required for a child to attend school. Thank you to all our families for your ongoing support as we continue to face the challenges of this pandemic together, with the aim of keeping our students and staff safe, and our schools open. https://t.co/HoJdGUFkiR"
c,0,"@JenChamberlain8 Hi Jen, I have an update for you. A COVID-19 vaccine waitlist is available at Costco for children turning 5-11 in 2021 at https://t.co/5DFoWPdZbi."
c,0,"So, booking a vaccination appt for my kid was just a tad faster compared to when I did it for myself. This lazy SOB didn’t even show up for his walk. https://t.co/9j4XDsFdLg"
c,0,"Mitchell Field Community Centre, East Bldg, Main Ent. in Toronto [Toronto health unit] 314 1st dose Pfizer or Moderna spots added First available date is 2021-11-25 Book at https://t.co/m7DvqKptvh See https://t.co/egCHzJUDZI for detailed availability #COVID19Vaccine #vhcON"
o,0,Merkel's husband blames Germans' laziness for low vaccination rate https://t.co/WkCT0VZhSw
c,0,"“If we get 80% vaccination rate with children, we may be able to get rid of the health measures. We need to be careful not to set that target and put pressure on the parents,” says Premier François Legault."
3,0,The Hub - Mid Scarborough in Scarborough [Toronto health unit] 300 3rd dose Pfizer or Moderna spots added First available date is 2021-11-22 Book at https://t.co/wqGByLwv6r See https://t.co/4qFA9CynGL for detailed availability #COVID19Vaccine #vhcON
c,0,"The event is limited to McGill students. Proof of vaccination is needed, bake sale &amp; hot chocolate will take place after the talks. https://t.co/TFIn5ab0Su"
g,0,"@ReutersFacts The policies are for our own good! We must show gratitude and never question authority or the Rockefeller Foundation!  Thank you, Rockefeller and Pfizer."
p,0,ICYMI: @GovCanHealth has authorized the use of the Pfizer-BioNTech Comirnaty #COVID19 vaccine in children ages 5 to 11: https://t.co/JVIJT9AqAn.   Visit https://t.co/gkNHKteeY7 to learn more about the next phase of Manitoba's vaccine campaign. #ProtectMB #COVID19MB #Manitoba https://t.co/i0nkK5js4J
3,0,"@HutzMs I was the opposite (with Moderna). First shot was nothing, just a sore arm. Second one knocked me out 24 hours later, maybe for 12 hours. Most people seem to be saying the booster falls somewhere in between."
o,0,@Silver82md @PaulineKoch1984 @mikeIng18 @WeHaveNoRights2 @pfizer @fordnation Mel you didn’t answer the question https://t.co/D8F2c0FhBW
c,0,@cockyweer It’s been misleading since phase 3 trials came out last year. Imagine if Pfizer did their phase 3 trials earlier this year. They would have failed along with Curevac
g,0,The Conversation: Moderna’s patent dispute with the U.S. government gets at a crucial question: control over how the drug is used https://t.co/HAVO3n3M6X
g,-,@Verovero1981 And they're not even nice capitalists... they're assholes https://t.co/SzEZ9l58CN
c,0,"COVID-19 vaccination data was used to send spam text messages, OPP say https://t.co/HPwyEtpcLv"
i,0,In some universities faculty are tacitly discouraged from interactions with industry and Professors flaunt “ no disclosures” as badges of honour and integrity. Yet other world leading academic centres actively encourage and promote industry collaboration.  https://t.co/GHXgmDsudL
c,0,@NotaliaMateo You can look up a clip by Dr. John Campbell detailing a study by the Royal Society of Chemistry of the effectiveness of Ivermectin and the new Pfizer drug at preventing the replication of the SARS-CoV-2.   I'll let the video and the good doctor speak for themselves.
v,0,I'm in my mid-40s. I had a full vaccination schedule as a child. I was pregnant when I was 38 and had all of the recommended vaccinations and boosters during pregnancy. I was vaxxed for meningitis in my mid 20s. Flu shots yearly + COVID x 2. What else do I need?
g,0,Trudeau throne speech lays out vision for COVID-19 rebuild with ‘economy of the future’ - National   https://t.co/VtHe63Ndni https://t.co/op4tLqcxEG just gonna make everything worse 🤯🤯🤯
p,0,Three more provinces announce plans for COVID-19 child vaccination programs https://t.co/gZQaVnHncG
3,0,Eligible for a COVID-19 booster dose?  ✅ Over 70 (born 1951 or earlier)  ✅ A health care worker age 16+  ✅ Indigenous adult &amp; household members age 16+  ✅ Received 2 doses of AstraZeneca  Check if it has been at least 168 days since your second dose: https://t.co/qd8gNSAsTV https://t.co/gbSW2eC3y4
g,0,AstraZeneca opens research center as UK builds science hub https://t.co/t24KMgOgXg https://t.co/okZE5AGc5Z
p,0,"As of today, parents of children ages 5 (born in 2016) to 11 years of age are eligible to book an appointment to receive a Pfizer COVID-19 vaccine. Appointments begin on Thursday, November 25, 2021. https://t.co/lHiXpilIDs."
c,0,TODAY! Learn how applying Lean principles accelerated the build of mass vaccination sites. Register for CCA's Lean Construction Institute of Canada's fall virtual training session being held at 1 - 3 p.m.  (ET).  Learn more in PLUS+ here: https://t.co/Sr0Bmtry6c https://t.co/D1M8bBdJIR
c,-,@brazchuk @AaronRodgers12 Don’t worry! Pfizer got a pill for that too!
o,0,"@trev82 @bmyska @MBGov At a current average cost of $15,000 per hospitalized Covid patient and $50,000 per Covid ICU patient, it’s not how much it would cost. It’s how much it would save."
c,0,"@ally_warren Yeah like... if I got the Moderna or Pfizer I would probably end up in hospital w reaction. I also had an older injury get irritated when I got my last vax, should have put in other arm. These are my pre existing conditions not vaccine problems"
c,+,"Daigo Hanada is slowly coming into focus, and we can't wait to share what he's been working on with you. Very, very soon... https://t.co/8O9g3daigG"
g,-,"@JohnTory are u sterilizing empty buses for flu? You want less buses on a road so people wait longer in a cold weather ? Canada is so Bankrupt, tnx to Big Pharma @AstraZeneca @moderna_tx  @pfizer @JNJNews Fake Plandemic. Now you have to lay off People &amp; send them to Food Bank eh? https://t.co/6AEkkNflbF"
c,0,Dr. Hinshaw announces that everyone currently eligible for COVID-19 vaccines in Alberta should wait 8 weeks between 1st and 2nd doses. Interval for 2nd and 3rd is 6 months.
0,-,"@JerryLane1977 @barbcraig7 @DrTessaT I am so sorry for your loss. Pfizer itself doesn't know yet our governments do? Pfizer Comirnaty Monograph https://t.co/ORsmMDZ240 Pg 19 ""The safety and efficacy of COMIRNATY in pregnant women have not yet been established"" https://t.co/oSSPXcjryx"
c,0,@CanEmbPH So international students from the Philippines who’ve received two doses of Sinovac do not need to quarantine anymore? Will they be eligible for booster shots when they arrive?
i,-,"@NotaliaMateo My cousin's 19 yr old caught COVID, mild, then got vaccinated - Pfizer - and then later caught COVID moderate (sick in bed). He was in good health, proper weight, etc.   No, it's not 100% effective. Perhaps it's 100% in the first few months. Perhaps. But the effectiveness wanes."
c,0,"If you don't want to be a responsible citizen, resign. Or get a vaccination like millions of the rest of us have. https://t.co/Y2Aoz7jyAT"
3,0,Hey @HNHealthUnit where do I get a booster shot (third vaccine) of Pfizer?  Dr office only giving Moderna.
c,0,"@Nireremlap @MaryFernando_ I would think Moderna would yield a stronger immune response due to the higher mRNA dose, but this isn’t my area of practice.  Again I wouldn’t wait longer for one over the other."
c,0,@strauss_matt @CPHO_Canada This seems like quite the change of direction in regards to forced vaccinations and vaccination those who are not at risk.  Very strange pivot.
c,0,UPDATE: Upwards of 80K appointments booked as Quebec opens COVID-19 vaccination for kids 5 to 11 https://t.co/wF5ncQhqyA
c,-,"Poor @ShopprsDrugMart staff  @OntarioHealthOH  web points to Shoppers, whose website starts a new geo search, but has no “kids pfizer” listed for bookings or walking. Call staff, they didn’t know it started today, or when they’ll have. Coulda been planned a bit, eh @fordnation ?"
c,0,"Pregnancy &amp; COVID: &gt; evidence of an association with stillbirth.  ""Implementing evidence-based COVID-19 prevention strategies, including #vaccination before or during #pregnancy, is critical to reduce the impact of #COVID19 on stillbirths.""  https://t.co/v3egGqZoYd via @CDCgov"
c,0,The Hub - Mid Scarborough in Scarborough [Toronto health unit] 150 1st dose Pfizer or Moderna spots added First available date is 2021-11-22 Book at https://t.co/XsOMsX4WEw See https://t.co/4qFA9CynGL for detailed availability #COVID19Vaccine #vhcON
p,0,Quebec vaccination plan for five to 11-year-olds to be announced today   CBC News https://t.co/ci97pOgtVs
o,0,"@MarkLessard8 @ChristyCeeCK @bruce_arthur It was quite an interesting interrogation,  Current paperwork, provincial medical history &amp; medications, previous vaccines used, my age, reactions to previous vaccines, detailed list of allergies.  All within 10 minutes, &amp; the practitioner decided on Moderna for my third Vax."
c,0,"Metro Toronto Convention Centre, N Bldg at Front &amp; John in Toronto [Toronto health unit] 181 2nd dose Pfizer or Moderna spots added First available date is 2021-11-23 Book at https://t.co/m7DvqKptvh See https://t.co/egCHzJUDZI for detailed availability #COVID19Vaccine #vhcON"
i,0,"@CMOH_Alberta Hi Dr., it doesn't make sense that majority of people hospitalized are 70+ and yet they have highest vaccination rate as per AHS website.  For instance, vaccination rate for 80+ sits at 93.5% and yet the chart you uploaded says that 80+ have highest hospital rate"
o,0,@MBGov @roussin_brent As an employee of an indoor sports place I’m curious to know what kind of proof will be available to parents of kids 12-17 to show proof of at least 1 dose of vaccination?
i,0,I wonder if a lot of men who were saying stuff about how most people don’t die from Covid are going to run out to get a vaccine now? #COVID19 https://t.co/trktXcuZrl
3,0,"@Branestorm3 @_abiddulph Absolutely! How many care homes have 100% vaccination of staff and residents (with most residents already having had boosters), yet are still having outbreaks."
c,0,"@crowmogh I’d had Pfizer for my two jabs, but when I went in today they’d just run out so I got Moderna. ‘Same thing’ apparently. Still, I don’t know what’s in my KFC so I’m not complaining. A ‘blend’ of vaccines is ‘more effective’. Apparently!"
o,0,"@PamelaMarlette @SharpeSE1975 @Tea_Time_Toni @CryMeARiverUSA @Kris96619744 @dora_saar @ell_devon I’m intelligent enough to know that leading a healthy, active lifestyle helps to improve your immune system. I’ve had head colds with worse symptoms than I had with covid. I’m also intelligent enough to know that the best immunity comes from contracting a virus and fighting it."
g,-,Austria's problem is they have a low vaccination rate and that's why they need to go into another lockdown!  #antivaxxers #antivax #antivaxxidiots #VaccinesSaveLives #UnitedNonCompliance https://t.co/SctEI8rRTK
p,0,Updates: Health Canada approves the use of Pfizer-BioNTech Comirnaty COVID-19 vaccine (10mcg) for children between the ages of 5 and 11 - Vaccination appointments open for kids turning five this year up to 11-year olds - New testing location (LifeLabs) https://t.co/E7bqKjye9A https://t.co/hWhNTgsHhf
c,0,"Hinshaw talks about Moderna vaccine for those aged 12-29.  Says data is clear while low, myocarditis is higher than Pfizer.  Moderna is 1 case/2k, Pfizer is 1 in 7K (both much lower than if you catch COVID)  Thus, are advising 12-29 get Pfizer."
o,0,"@RichieHayes2 @jonrappoport @GovCanHealth @moderna_tx @US_FDA @TorontoStar @TheTorontoSun Thanks, Richie!  I will post this. 👍"
c,0,UPDATE: Upwards of 80K appointments booked as Quebec opens COVID-19 vaccination for kids 5 to 11 https://t.co/wF5ncQhqyA
o,0,"@CTVToronto Any update on this? According to the FDA &amp; Pfizer - as it pertains to children - Do NOT administer Pfizer-BioNTech COVID-19 Vaccine to individuals with known history of a severe allergic reaction (e.g., anaphylaxis)?"
c,0,@_frdrik Vaccination in schools will begin next week. But parents can also bring children to vaccination centres if they prefer that way.
o,-,Essential thread. Long covid in kids is very real. And devastating. https://t.co/lKNWcxirGl
c,0,@Martyupnorth_ They added Tromethamine to the 5-11 yr jab. Pfizer says it's to improve stability but yet didn't add it to the 12+. Tromethamine is also used to stabilize patients after a heart attack. Did they add this to hide visible heart issues? Maybe? https://t.co/ORsmMDZ240 https://t.co/lHFgCkBNWN
p,0,"B.C. starts COVID-19 vaccines for children 5 to 11 next week, up to 350,000 eligible https://t.co/JaWwQ6gKSv https://t.co/yYtLmOEIZw"
c,0,@noisejockey I was like that after my second dose of Moderna even with coffee and Advil. Took a few days until I felt back to normal. Hope you feel better soon Nathan!
c,0,"Breaking them into quartiles considering population is tricky because LA, ranked by vaccination, takes up the space from 37th to 62nd percentile. I called them the 3rd quartile (next to top) combined with Orange and Ventura only."
o,0,"8 tattoos 8 piercings and 2 Pfizer shots later, I think I might finally be overcoming my fear of needles"
c,0,@jannarden Were you mixed doses or two of the same? My first was Astra Zeneca and second was Pfizer.
c,0,"So I guess @WestJet is just not bothering to check vaccination proof? Because nowhere between setting foot into @FlyEIA and arriving at my destination was I asked for mine.  That’s pretty concerning, my dudes. What’s stopping antivaxers from boarding?"
i,0,"Gray says North Zone had 45,000 cases of Covid. 20 per cent of those diagnosed will have long-term symptoms. Approximately 9,000 cases. Will you commit to supporting those patients?"
p,+,It’s a #Chanukah miracle! My daughter’s @pfizer shot is booked on the first night of #Hanukkah! #kidsvaccine #happyparent #CovidVaccine
p,0,ICYMI: @GovCanHealth has authorized the use of the Pfizer-BioNTech Comirnaty #COVID19 vaccine in children ages 5 to 11: https://t.co/f1mYDVxkQh.   Visit https://t.co/FumluLH6mj to learn more about the next phase of Manitoba's vaccine campaign. #ProtectMB #COVID19MB #Manitoba https://t.co/2xGzj6l6NZ
g,0,"If you missed 'This Week in Portage' last Friday, Councillor Ryan Espey talked about Covid 19 Vaccination, Disposable Mask Recycling, Routine Snow Clearing, Open House for the Sask Ave W Project, and more!! You can listen here: https://t.co/WGZROwWMik https://t.co/bm3MuRop9l"
3,0,"@HutzMs I was the opposite (with Moderna). First shot was nothing, just a sore arm. Second one knocked me out 24 hours later, maybe for 12 hours. Most people seem to be saying the booster falls somewhere in between."
o,+,@DrJ56013122 That kind of thinking doesn't keep the lights on at Pfizer.   We need ti make sure the ceo gets a MASSIVE bonus for all the great work he's done this year
p,0,"Starting at 8 a.m., parents in Ontario will be able to start booking appointments today for their children aged 5-11 to receive the Pfizer COVID-19 vaccine https://t.co/Cx240Hfybj"
p,-,"Am just catching up on L'Affaire Morley Lecomte. It appears her error was thinking she could use simple proof of vaccination, not the QR code, to go to restaurants. A little embarrassing. But quite a step down from the original accusation that she had..."
o,+,"@RichieHayes2 @jonrappoport @GovCanHealth @moderna_tx @US_FDA @TorontoStar @TheTorontoSun Thanks, Richie!  I will post this. 👍"
i,-,@PrairieVeteran @MarkParalovos Also; whatever levels of asymptomatic spread existed before vaccination (whatever you believe those rates were) they are higher now among vaccinated people since vaccinated people have fewer and less drastic symptoms.
p,0,"@BrittAtGlobal My kids' school updated their ""COVID Protocol"" on Friday and one of the updates was that they'd start vaccination at school (with parental consent).  Was there any mention of a broader plan to vaccinate at schools throughout the province at the presser?"
p,0,Cloverdale Mall in Toronto [Toronto health unit] 385 2nd dose Pfizer or Moderna spots added First available date is 2021-11-23 Book at https://t.co/m7DvqKptvh See https://t.co/egCHzJUDZI for detailed availability #COVID19Vaccine #vhcON
o,-,"""A Crazy Mess""! Pfizer whistle-blower slams vaccine trials. #Pfizergate https://t.co/tC5iWF4lVl"
3,+,@ASPphysician Agree re get 3rd dose &amp; your recs. Q- seems most data not based on longer interval d1-2 better protection &amp; mix n match better in real world data. Do we have data for #On context? Israel did 3wks? Uk data for pfizer &amp; longer interval?
o,0,@JeanMaCouille @PPegotero @Dav33lib @mushotoku2019 @GabinJean3 8 millard 2019  https://t.co/Ja6txmefRf
3,-,"@MarkLessard8 @ChristyCeeCK @bruce_arthur It was quite an interesting interrogation,  Current paperwork, provincial medical history &amp; medications, previous vaccines used, my age, reactions to previous vaccines, detailed list of allergies.  All within 10 minutes, &amp; the practitioner decided on Moderna for my third Vax."
c,0,@KelleyKga My understanding is Pfizer is asking for EUA only for unvaccinated.
i,-,@prernapickett I felt a bit yucky for about a day after I got Moderna
p,+,"@OttawaMaryJ @AnatheaT Me too, but the appointments never said anything about it for older kids either. I remember in June being slightly concerned we were going to show up and there'd be no Pfizer, just Moderna. But they had it organised."
p,+,"CanadianPM: RT CanBorder: Today flyyhm, #CBSA officers ensured the expedited clearance of the first shipment of Pfizer #Covid19 vaccines for children…"
g,-,"@nobodyuno5 @angrybklynmom Also a tech worker, also same mandate, also remote employee. I don't support such a mandate, although I am both vaccinated and boosted. I think mandates are counter productive in increasing uptake, and wrong in a free society.  But I AM a strong proponent of vaccination by choice"
i,-,"Interesting benchmark given that it was once considered false to claim that COVID vaccines didn’t stop the vaccinated spreading COVID, which is now an obvious fact. Whatever the NIH, Fauci &amp; Pfizer deem to be “misinformation” will become the standard. https://t.co/RJaw12N1K0"
p,0,3 days ago Health Canada approved use of the Pfizer-BioNTech’s #COVID pediatric #vaccine for kids 5-11 (already approved a few weeks ago in the US).  https://t.co/9w74L8z8QF https://t.co/rwmEqzElKy
c,-,@Jennife76009497 @BogochIsaac @TOPublicHealth @joe_cressy Another reminder. “While it is not justified to vaccinate children only to benefit others”.  https://t.co/iApx9RrHrR
p,0,Conservatives say all MPs should vote on vaccination mandate to enter House https://t.co/Azr3LX7ZWK https://t.co/I4Cu7m1RCK
p,-,@bkives --- almost 2h10m on hold waiting to book @pfizer #COVID19Vaccine for my 8 &amp; 10 yr olds... Still waiting @MBGov https://t.co/Sc8M4iSzdw
i,+,"@AndreiManko @robfoot I'm going to watch all the keeners run out and get this for their kids... they can join this ""Canadian trial"" if they want. I hope the results are not like AZ blood clots and Pfizer/Moderna myocarditis."
p,+,@slaivenieks @VaxHuntersCan Looks like you'll have to check back. They mentioned they'll continue to add appointments as shipments are confirmed on this page. Hopefully not too long! https://t.co/zJixKuomJi
i,+,"@gkc_payroll @fagstein @OonaOShea Fair points, I prefer the vaccination center 1) going to same centre as her flu shot so she’s familiar with it 2) they operate like a well-oiled machine (not sure how schools will manage) 3) taking her on a Sat, in case of any side effects, she can rest on the weekend. Good luck!"
p,0,Quebec vaccination plan for five to 11-year-olds to be announced today   CBC News https://t.co/ci97pOgtVs
p,0,"Ottawa Public Health is preparing to begin administering COVID-19 vaccines to 77,000 children following Health Canada's approval of the Pfizer-BioNTech COVID-19 vaccine for children on Friday.  https://t.co/3Li9rSOOJp"
i,-,"@singingsox @mbur82 @EpiEllie @1yearofletters I've worked in Taipei, Tokyo, Shanghai, Beijing. Asymptomatic people don't mask in flu season. In fact symptomatic people do, and GO TO WORK - where they take the mask off. If my fellow humans are vaccinated, there is no need to protect them. Vaccination is a choice."
i,0,@Sammich_BLT @MLarmon @Billius27 Now look at vaccination uptake in 60+ in Ontario. 60s 94% 70s 97% 80s 98%.
g,0,The Embassy of Panamá 🇵🇦participated at the Conference “Central America’s Economic Recovery in a post Covid World and Canada’s Role” organized by the Embassies of SICA in 🇨🇦 and Carleton University (..) https://t.co/gGEKoqcZvU
i,-,@CMOH_Alberta Are you gonna talk about how Covid is airborne?
i,-,@matthew28111015 @OptioChris @zerohedge Headline says despite vaccines and not despite people being vaccinated. Vaccines are indeed available but the US has an extremely low vaccination rate. They should do the same exercise with Canada where 85% of the population 12+ have gotten the vaccine.
g,-,"Am just catching up on L'Affaire Morley Lecomte. It appears her error was thinking she could use simple proof of vaccination, not the QR code, to go to restaurants. A little embarrassing. But quite a step down from the original accusation that she had..."
p,0,Here's the latest news from this afternoon's press conference! Quebec vaccination plan for 5- to 11-year-olds to be announced today   CBC News https://t.co/5meo14yhij
c,-,"""Chapmans Ice Cream Receives Overwhelming Support From Staff and Consumers Regarding Vaccine Policy.""  This is not hard, @CBC. How do you not understand narrative control?   https://t.co/poomO1fvS7"
p,0,"Scarborough Town Centre, East side, Near entrance 2 in Toronto [Toronto health unit] 383 2nd dose Pfizer or Moderna spots added First available date is 2021-11-23 Book at https://t.co/m7DvqKptvh See https://t.co/egCHzJUDZI for detailed availability #COVID19Vaccine #vhcON"
o,-,@cranium243 @ItsStillBrenton @LifeChanger76 @ctvwinnipeg Yah actually Scott Billeck did back in August. Check his tweets you’ll find it when he was tweeting about zero vaccination uptake in the RM of Stanley. (Morden)
o,0,@brazchuk @AaronRodgers12 Don’t worry! Pfizer got a pill for that too!
p,0,MPI Implementing New Vaccination Policy https://t.co/kxhQj7U92j
g,-,"@youmakemefart That is indeed the big question! Independent safety studies should be conducted, should have been conducted — not funded by Pfizer and Moderna."
p,-,"@KikkiPlanet @ahopeross Recently travelled to Cuba. They checked my vaccine card very briefly. No QR code scan. On my return it was the same. Had to do a rapid PCR upon arrival and another 72 hours prior to landing, but never felt really hassled for proof of vaccination"
p,0,"➡️ There are 613 new COVID-19 cases in Ontario  ➡️ 11,096 vaccine doses were administered yesterday  ➡️ Children 5-11 born on or before Dec. 31, 2016 are now eligible to register for a dose of the Pfizer vaccine   #onpoli https://t.co/gAFDOALcFy"
c,-,@edmontonjournal Not a single student in Edmonton with serious covid symptoms. Pfizer applied to the courts to have the covid data kept secret for 55 years. The Edm Journal and other media are suppressing information. Sick!
g,0,"“If we get 80% vaccination rate with children, we may be able to get rid of the health measures. We need to be careful not to set that target and put pressure on the parents,” says Premier François Legault."
p,0,Carefirst Seniors &amp; Community Services Association in Scarborough [Toronto health unit] 192 2nd dose Pfizer or Moderna spots added First available date is 2021-11-22 Book at https://t.co/XsOMsX4WEw See https://t.co/4qFA9CynGL for detailed availability #COVID19Vaccine #vhcON
p,0,"Beginning today, Nov. 22, 2021, all essential care partners will be required to show proof of full vaccination status upon every entry to an acute care facility.   Please visit https://t.co/NlGrDtREEY for more information. #COVID19MB #ProtectMB #Manitoba"
p,0,"Metro Toronto Convention Centre, N Bldg at Front &amp; John in Toronto [Toronto health unit] 384 3rd dose Pfizer or Moderna spots added First available date is 2021-11-23 Book at https://t.co/m7DvqKptvh See https://t.co/egCHzJUDZI for detailed availability #COVID19Vaccine #vhcON"
p,+,"My 9 year old is booked for his #vaccination this Saturday.  Honestly didn't think we would ever be here! But I #believeinscience, #GetVaccinated, #doingmypart, #endthepandemic https://t.co/SWZ31fZrTa"
i,0,"@alexharv074 @karenfriesen11 @KoenSwinkels ...roaring through highly vaccinated populations.  I appreciate you sending me this article, and it does make a case that the recent vaccination regime has had a defined and measurable effect on the virus's evolution.  I'll add this opinion to my set of logical filters."
p,0,“W/ Health Canada approving Pfizer’s COVID-19 vaccine for children aged five to 11… Doctors Manitoba will be holding a town hall to answer questions about the vaccine…The virtual town hall will be held online November 30 at 7 p.m. and broadcast live on YouTube.” @louis_riel_sd https://t.co/7wn3aQ5Ja2
p,-,"@KaiaSerene @coldxman @NAChristakis I'm objecting to the idea that mandatory testing is not as good as mandatory vaccination. Yes, the vaccine makes people less likely to spread the virus"
g,0,Tory vaccination status in spotlight after MP tests positive on eve of new Parliament https://t.co/zyJwGLFaNm fully vaccinated MP with Covid?
c,-,@cagey2577 @silla_de_pensar @DianeDi18 @drsusanshaw @Covid19Critical Ok... So the bull of the deaths happened in January and February before vaccination coverage and most areas in the US had 3+ months before there was any impact from COVID in 2020.  Use some basic logic before you repeat the next dishonest talking point.
p,+,"Very happy to see the first doses of Pfizer's COVID-19 vaccine for children have arrived in Canada!  For Manitobans - information on booking your child's vaccine appointment is available, here: https://t.co/Cg5fHisclk. https://t.co/ZQ6KuvnvOe"
g,+,@aus_forum @RobbieEv1882 @StephenMcDonell Can you please clarify what types of COVID vaccine that Australia recognizes as acceptable for Chinese students to enter Australia from China - how about Sinopharm and/or Sinovac?
p,0,"@atypicalalbertn @brrittannyh And budgets being what they are, this will be a catch-22 for any board that considers the option. That said, it will be interesting to see what other provinces with some vaccination requirements do now, as perhaps it sets up future changes/legal ground for Alberta school boards."
p,-,"“Manitobans caught in this massive backlog, they need hope, they need to see action. They need to see that help is on the way. And unfortunately, today they were left waiting again.”  https://t.co/8QUFxtf1nU"
p,+,"Continue mask use, physical distancing alongside COVID-19 vaccination: BMJ https://t.co/9nXPvmgssJ via @FinancialXpress   ""...a statistically significant 53% reduction in the incidence of COVID-19 with mask wearing and a 25% reduction with physical distancing."""
c,-,@CPHO_Canada @JustinTrudeau #CoronaVirus #CoVid19 @fordnation @celliottability @epdevilla @jyduclos More People Died in the Key Clinical Trial for Pfizer’s Covid Vaccine Than the Company Publicly Reported https://t.co/fR1Gtu4Oy9 https://t.co/yzUrsICoM9
3,-,@Surgeon_General What about AstraZeneca I got two doses of it and want my third to be the same one why isn’t this mentioned
p,0,"At 6: Vaccination begins for 5-11 age group. How the booking process went today? Plus, 2 men charged in portal security breach. Also, kisses &amp; hugs or festive distancing? How Canadians plan to celebrate the holidays this year &amp; live @DistilleryTO for @ToyMountain!"
3,+,@Amy_Siskind I’ve had my 2 Moderna vaccines. My symptoms were a sore arm and fatigue. I took extra strength Tylenol and rested.   I will get my Moderna booster shot 6 months after my last shot so in January 2021. Looking forward to it.  Get #Vaccinated
g,0,Surging numbers of coronavirus infections in Europe have prompted US officials to advise citizens against traveling to Germany or Denmark. https://t.co/ZM0HynZD26
i,-,"@MarkLessard8 @ChristyCeeCK @bruce_arthur It was quite an interesting interrogation,  Current paperwork, provincial medical history &amp; medications, previous vaccines used, my age, reactions to previous vaccines, detailed list of allergies.  All within 10 minutes, &amp; the practitioner decided on Moderna for my third Vax."
p,0,"BREAKING: A group of children in Toronto were the first in Canada to receive a dose of the recently approved Pfizer pediatric COVID-19 vaccine, local officials say. https://t.co/xOyO66pI8P"
i,-,@Edmontonsun In 19 months not a single student in Edmonton has had serious covid symptoms. Pfizer applied to the courts to have the covid data kept secret for 55 years. The Edm Sun and other media are suppressing information. Sick!
p,-,TODAY! Learn how applying Lean principles accelerated the build of mass vaccination sites. Register for CCA's Lean Construction Institute of Canada's fall virtual training session being held at 1 - 3 p.m.  (ET).  Learn more in PLUS+ here: https://t.co/Sr0Bmtry6c https://t.co/D1M8bBdJIR
i,-,"@Branestorm3 @_abiddulph Absolutely! How many care homes have 100% vaccination of staff and residents (with most residents already having had boosters), yet are still having outbreaks."
p,0,"COVID-19 live updates: Alberta's vaccine plans for kids 5 to 11 expected today; 1,125 new cases since Friday   #yeg  https://t.co/AawDZ1w7oR"
p,-,"With vaccines now approved for kids aged 5 to 11 in 🇨🇦, ""it is important to pause and draw attention to one undeniable truth in the pandemic: children remain invisible.""  Great @GlobeDebate: Children’s voices deserve to be heard during COVID-19.  https://t.co/vNUyZyGtDo"
